location_id,median_age,total_population,children_under_6_poverty,adults_65_and_older_poverty,violent_crime
3000,31.3,21924,11.1,1.95,57.8
3001,28.4,73960,28.45,14.15,293.21
3002,36.8,34801,19.5,11,125.91
3003,42.5,15788,41.2,7,392.9
3004,43,37469,17.2,10.3,35.34
3005,38.5,31275,25.85,13.6,275.89
3006,39.5,101142,28.3,7,280.36
3007,41.9,61857,38.8,11.85,340.2
3008,36.5,189040,9.9,5.15,158.07
3009,31.5,71530,29.55,7.2,396.28
3010,40.3,35423,28.85,7.9,260.85
3011,46.5,63136,28.3,8.3,218.42
3012,40.1,46577,31.35,10.5,138.02
3013,39.1,88396,6.6,5.35,227.42
3014,38.1,142301,19.95,7.65,292.46
3015,34.7,329963,33.95,14.25,681.8
3016,31.7,46681,27.95,14,545.09
3017,33,32210,17.95,8.5,109.15
3018,42.5,91140,11.05,4.45,145.51
3019,39.1,20908,34.9,6.6,106.1
3020,39.9,116526,18.6,6.15,200.52
3021,30.4,1014977,13.35,7.5,355.73
3022,47.4,54452,22.75,10.7,403.22
3023,45.3,13572,23,20.35,201.26
3024,48.5,46063,18.8,5.1,213.5
3025,39.5,67464,28.75,10.65,560.23
3026,39.7,949081,12.75,7.25,257.92
3027,44,11614,32.45,21,166.2
3028,38.7,149337,19.75,7.35,157.81
3029,40.3,8553,32.9,13.95,66.57
3030,45.1,16659,24.25,9.4,143.13
3031,27.6,44768,42.5,9.8,456.7
3032,36.8,87183,46.1,25.75,593.73
3033,40.6,33163,18.2,10.5,169.1
3034,44,96154,31.5,9.15,573.54
3035,37.7,42430,23.2,6.8,77.51
3036,42.9,28891,30.25,10.85,338.4
3037,34.4,127821,4.4,5.8,136.65
3038,39.7,322078,4.35,4.8,79.97
3039,42.9,49146,16.25,8.65,207.13
3040,37.2,134519,28.55,14.25,606.77
3041,40.2,68117,35.25,15.95,758.63
3042,41.9,29864,24.6,13.15,207.07
3043,37.1,88838,24.7,8.8,406.31
3044,43.3,32352,8.25,6.05,109.23
3045,48.2,14976,16.5,7.45,193.34
3046,24.1,70410,21.4,6.15,280.76
3047,34.4,54633,11.65,8.2,
3048,47.2,90659,23.8,5.35,288.96
3049,38.4,23203,25.75,18,110.69
3050,39.4,996938,16.85,6.15,318.96
3051,37.4,124186,16.25,11.1,285.79
3052,40.8,78772,29.15,10.45,419.46
3053,35.7,20680,19.75,1.4,263.99
3054,28.6,196608,22.45,8.1,616.37
3055,37.1,10673,32.5,21,69.13
3056,39.4,100339,24.05,7.75,250.19
3057,38.1,301272,19.1,9.45,400.8
3058,37.8,195370,14.65,5.6,103.3
3059,43.6,60595,8.1,11.25,199.75
3060,42.7,47108,25.6,10.5,262.79
3061,40.2,42631,16.05,7.25,180.66
3062,35.4,23055,23.95,14.1,403.67
3063,29.7,61948,14.25,9.65,169.87
3064,28.1,738733,48.4,25.3,337.58
3065,39,31381,23.05,6.8,289.68
3066,36.5,112346,22.4,8.6,400.33
3067,39.7,20569,27.35,20.65,125.9
3068,39.4,114814,14.2,5.35,142.97
3069,39.1,24001,14.8,8.15,289.65
3070,40.2,19074,52.45,19.05,811.07
3071,43.1,69386,28.3,9.75,70.52
3072,42.6,52162,19.9,10,116.3
3073,40.7,8202,35.9,9.25,203.5
3074,43.4,459315,18,8.05,339.39
3075,42.2,45741,19.85,11.75,76.51
3076,35.1,60358,24.05,8.9,273.26
3077,34.3,595078,26.25,14.4,1290.82
3078,41.2,215541,23.4,7.9,383.79
3079,38.4,44185,19,8,95.51
3080,36.2,153734,13.6,7.35,168.92
3081,39,36726,32,8.2,166.87
3082,42.4,79614,11.05,4.1,124.33
3083,41.1,21428,17.55,9.75,312.76
3084,40.4,36740,12.4,7,83.39
3085,42.7,29867,10.7,8.1,67.4
3086,36,777661,21.9,12.55,675.44
3087,39.7,15616,14.5,11.1,249.78
3088,38.9,22932,3.6,5.4,230.09
3089,37.5,82823,18.1,8.35,323
3090,41.4,49105,27.35,9.35,237.26
3091,39.7,28923,50.1,20.25,102.41
3092,48.2,10160,51.5,7.95,432.58
3093,40,27492,12.35,12.45,233.82
3094,40.9,11750,42.7,22.45,402.65
3095,39.6,20640,21.65,16.5,145.27
3096,29.3,92026,17.25,8.25,365.04
3097,38.7,44805,39.25,17.75,526.47
3098,40.9,24814,32.4,12.2,273.58
3099,36.5,78566,39.05,13,1015.9
3100,44.4,494521,25.1,8.55,534.68
3101,39.4,17396,27.55,17.85,265.12
3102,39.1,53880,31,7.9,59.13
3103,33.9,107468,17.25,8.6,269.39
3104,36.5,156082,26.35,9.45,532.1
3105,40,52577,13.3,8.3,154.98
3106,40.2,14497,26.85,15.55,347.18
3107,38.6,22095,29.85,12.25,284.9
3108,39.8,340245,7.05,6,217.82
3109,36.6,463074,20.15,8.55,355.81
3110,35.4,34737,28,20.8,345.64
3111,45,32723,34.55,12.65,242.88
3112,42.4,7263,22.3,6.9,283.66
3113,36.8,18604,34.15,14.4,449.02
3114,52.5,20272,34.9,6.55,344.55
3115,44.7,14347,28.2,18.4,845.81
3116,38.4,19900,46.5,26.15,624.04
3117,38.6,36765,11,8,135.03
3118,40.6,101436,26.7,9.8,
3119,39,33283,32.05,12.6,
3120,45.4,24578,22.9,8.45,102.65
3121,38.3,37940,43.45,15.15,537.7
3122,36.7,18252,56.75,21.95,59.14
3123,42.1,199218,10.4,8,120.92
3124,37.8,529274,14.2,8.6,454.06
3125,39.4,22875,37.65,12.55,541.08
3126,29.1,56345,7.4,5.6,186.14
3127,39.4,584376,26.1,8.7,426.6
3128,37,40005,51.9,18.7,292.46
3129,40.9,73842,24.2,8.75,404.13
3130,31.7,166629,13.25,5.45,343.21
3131,33.3,381456,7.55,5.4,158.36
3132,32,186677,23.9,8.4,527.24
3133,41.9,29280,29.5,12.25,279.17
3134,35.2,44985,33.05,16.15,157.53
3135,34.1,120613,6.2,7.15,80.74
3136,38.6,101059,16.1,4.9,245.53
3137,38.7,853004,17.45,7.15,416.79
3138,38.6,81240,27.55,15.45,325.32
3139,40.5,109770,30.35,6.3,536.77
3140,36.7,175151,11.95,7.65,145.88
