location_id,less_than_high_school_diploma,at_least_high_school_diploma,at_least_bachelorss_degree,graduate_degree,school_enrollment
3000,9,91,31.1,11.2,74.2
3001,32.4,67.6,14.6,4.6,68.95
3002,13.9,86.1,20,5.5,77.2
3003,22.3,77.7,13.6,5.8,70.4
3004,12.8,87.2,13.2,3.5,75.25
3005,30.4,69.6,11.8,4.2,68.9
3006,13.9,86.1,14.7,4.7,74.75
3007,20.9,79.1,16.4,5.7,72.35
3008,8.5,91.5,39.6,12.2,80.9
3009,23.1,76.9,12.5,3.1,71.45
3010,13.5,86.5,20.2,7.8,79.95
3011,14.2,85.8,18.3,6,72.2
3012,22.2,77.8,13.2,5.7,73.85
3013,8.1,91.9,29,11.9,81.25
3014,10.9,89.1,25.4,8.5,73.25
3015,21.8,78.2,19.9,7.4,75.05
3016,18.5,81.5,18.2,6.9,69.4
3017,7.9,92.1,33.6,10.9,80.65
3018,10.3,89.7,32.6,11.3,79
3019,17.4,82.6,15.9,5.5,67.4
3020,12.3,87.7,23.2,8.7,72.55
3021,11.1,88.9,30.1,10.3,74.55
3022,20,80,15.6,5.2,70.95
3023,24.3,75.7,11.2,3.6,75.4
3024,9.3,90.7,19.6,6.6,71.65
3025,18,82,14.9,5.4,68.6
3026,12.6,87.4,44.5,22.1,83.8
3027,28.1,71.9,10.4,3.6,72.45
3028,11.6,88.4,24.7,8.1,78.05
3029,26,74,11.6,3.5,73.15
3030,21.3,78.7,12.6,4,71.3
3031,15.5,84.5,31.8,13.8,86.7
3032,27,73,12.5,3.6,73.3
3033,21.5,78.5,12,3.5,73.05
3034,15,85,20.2,6.8,73.9
3035,13.7,86.3,14.7,5.3,75.8
3036,18.9,81.1,17.6,7.2,74.15
3037,6.1,93.9,36,9.4,80.3
3038,7.3,92.7,49.8,21.8,85.2
3039,14.3,85.7,19.2,8.4,65
3040,19.2,80.8,20.8,7.6,77.55
3041,25.3,74.7,14.5,4.4,75.35
3042,15.7,84.3,17.5,6.9,72
3043,13.8,86.2,19.4,6.4,75.35
3044,8.9,91.1,35.5,12.9,81.05
3045,8.2,91.8,26.8,9.7,74.4
3046,5.8,94.2,42.3,18.8,79.65
3047,14.4,85.6,24.4,7.5,71.25
3048,9.8,90.2,22,6.7,77.7
3049,28.6,71.4,12.4,5.3,75.35
3050,9.3,90.7,39.1,15.6,81.4
3051,9.7,90.3,28.4,11,77.3
3052,21.6,78.4,15.4,5.8,74.6
3053,4.9,95.1,49.7,16.4,63.9
3054,7.7,92.3,41.2,20.7,84.95
3055,25,75,9.3,2.8,67.95
