location_id,adult_smoking,adult_obesity,diabetes,sexually_transmitted_infections,HIV_prevalence_rate
3000,0.078,0.232,0.062,139.2,28.3
3001,0.117,0.322,0.091,361.9,114.5
3002,0.176,0.294,0.08,194.7,88.1
3003,0.24,0.311,0.113,359.8,689.7
3004,0.185,0.294,0.083,189.5,18.2
3005,0.245,0.343,0.142,279.1,50.4
3006,0.232,0.367,0.115,377.6,107.6
3007,0.283,0.339,0.141,352.2,50.8
3008,0.18,0.296,0.089,215.2,77.7
3009,0.172,0.305,0.077,338.9,70.5
3010,0.202,0.299,0.099,402.3,182.7
3011,0.261,0.289,0.096,280.3,61.5
3012,0.239,0.342,0.121,402.9,35.3
3013,0.198,0.284,0.095,328.3,123.6
3014,0.201,0.223,0.066,465,72.9
3015,0.26,0.294,0.1,737.6,166.5
3016,0.226,0.292,0.088,561.9,84.5
3017,0.066,0.289,0.074,85.3,39.7
3018,0.175,0.266,0.105,257.7,54.9
3019,0.167,0.307,0.088,638.5,71
3020,0.161,0.278,0.081,277.7,54.6
3021,0.109,0.246,0.068,346.6,219.9
3022,0.174,0.286,0.12,280.8,38.4
3023,0.2,0.357,0.139,57.7,106
3024,0.191,0.258,0.091,153.2,42.8
3025,0.239,0.349,0.129,474.2,392.1
3026,0.13,0.172,0.082,313.9,474.3
3027,0.175,0.333,0.132,350.8,95.6
3028,0.237,0.28,0.104,233.6,145.9
3029,0.326,0.336,0.125,223.2,71.6
3030,0.212,0.294,0.131,266,89.6
3031,0.149,0.326,0.097,1022.3,162.6
3032,0.25,0.414,0.15,779.2,292.5
3033,0.133,0.311,0.086,275.8,265.7
3034,0.277,0.283,0.111,345.9,193.8
3035,0.19,0.297,0.106,190.8,63.4
3036,0.239,0.326,0.125,122.2,84
3037,0.132,0.24,0.062,194.6,53.5
3038,0.093,0.211,0.074,162.2,207.3
3039,0.267,0.303,0.098,251.3,436.4
3040,0.211,0.361,0.137,816.8,548.1
3041,0.227,0.358,0.139,503.5,240.4
3042,0.195,0.315,0.113,143.1,23.2
3043,0.268,0.383,0.121,509.7,195.6
3044,0.131,0.242,0.102,253,66.7
3045,0.159,0.289,0.097,72.9,61.1
3046,0.156,0.265,0.064,467.1,58.8
3047,0.184,0.174,0.05,298.6,78.4
3048,0.225,0.284,0.117,251.6,103.3
3049,0.277,0.365,0.138,518.6,60.1
3050,0.17,0.283,0.1,555.5,220.1
3051,0.155,0.25,0.074,342.6,68.7
3052,0.231,0.334,0.12,254,152.3
3053,0.098,0.131,0.039,208.8,87.5
3054,0.161,0.274,0.077,675.8,177.4
3055,0.447,0.336,0.129,254.2,65.6
3056,0.168,0.323,0.116,207.2,69.4
3057,0.174,0.259,0.084,481,418.6
3058,0.235,0.266,0.098,273.2,35.7
3059,0.181,0.269,0.094,209.2,66.5
3060,0.27,0.224,0.085,268.2,306.9
