location_id,state,county,lon,lat
3000,Utah,"Wasatch County, Utah",-111.1615683,40.3348838
3001,Washington,"Franklin County, Washington",-118.9069436,46.5345799
3002,Nebraska,"Madison County, Nebraska",-97.6068564,41.9099293
3003,Florida,"Gulf County, Florida",-85.2565366,29.9072571
3004,Wisconsin,"Oconto County, Wisconsin",-88.2065162,44.9965754
3005,Alabama,"Franklin County, Alabama",-87.8428147,34.4419884
3006,Washington,"Cowlitz County, Washington",-122.6586822,46.1859234
3007,West Virginia,"Mercer County, West Virginia",-81.106456,37.4034477
3008,Alabama,"Shelby County, Alabama",-86.6781042,33.2629366
3009,California,"Yuba County, California",-121.3442802,39.2700256
3010,Illinois,"Morgan County, Illinois",-90.2022771,39.716806
3011,Oregon,"Coos County, Oregon",-124.0925574,43.1841928
3012,Kentucky,"Hopkins County, Kentucky",-87.5421956,37.3110702
3013,Maryland,"Calvert County, Maryland",-76.5258639,38.5213575
3014,Colorado,"Mesa County, Colorado",-108.4618366,39.0194924
3015,Texas,"Nueces County, Texas",-97.5216428,27.7394061
3016,New Mexico,"Curry County, New Mexico",-103.3460546,34.5729841
3017,Minnesota,"Nicollet County, Minnesota",-94.245685,44.3588195
3018,Virginia,"Roanoke County, Virginia",-80.1901101,37.3310768
3019,Oregon,"Jefferson County, Oregon",-121.1830211,44.64379
3020,Washington,"Skagit County, Washington",-121.8162777,48.4930662
3021,Utah,"Salt Lake County, Utah",-111.9242439,40.667882
3022,Tennessee,"Cumberland County, Tennessee",-84.9947614,35.9523984
3023,West Virginia,"Summers County, West Virginia",-80.8563149,37.6560029
3024,California,"Calaveras County, California",-120.5551154,38.1878437
3025,Florida,"Columbia County, Florida",-82.6231271,30.2213046
3026,New York,"Westchester County, New York",-73.745912,41.1527698
3027,Tennessee,"Decatur County, Tennessee",-88.1073838,35.6034221
3028,Florida,"Santa Rosa County, Florida",-87.0142549,30.7036328
3029,Kentucky,"Bracken County, Kentucky",-84.1003549,38.678523
3030,Texas,"Leon County, Texas",-95.9956219,31.3004925
3031,Louisiana,"Lincoln Parish, Louisiana",-92.6620823,32.6011478
3032,Louisiana,"St. Landry Parish, Louisiana",-91.9892745,30.5834409
3033,Illinois,"Randolph County, Illinois",-89.8212096,38.0565149
3034,Arkansas,"Garland County, Arkansas",-93.1469148,34.5788613
3035,Ohio,"Clinton County, Ohio",-83.8145417,39.4140409
3036,West Virginia,"Randolph County, West Virginia",-79.8677827,38.7810865
3037,Minnesota,"Scott County, Minnesota",-93.534553,44.6519322
3038,New Jersey,"Somerset County, New Jersey",-74.61993,40.5655218
3039,New York,"Greene County, New York",-74.1494949,42.2869511
3040,South Carolina,"Florence County, South Carolina",-79.7102329,34.0285346
3041,South Carolina,"Laurens County, South Carolina",-82.005657,34.483477
3042,Maryland,"Garrett County, Maryland",-79.2694163,39.529871
3043,Missouri,"Buchanan County, Missouri",-94.8081728,39.6603695
3044,Texas,"Kendall County, Texas",-98.7110939,29.9445241
3045,Wisconsin,"Bayfield County, Wisconsin",-91.1772815,46.6341992
3046,Kansas,"Riley County, Kansas",-96.7274889,39.2912114
3047,Colorado,"Garfield County, Colorado",-107.9097801,39.5993517
3048,Florida,"Flagler County, Florida",-81.2863619,29.4748942
3049,Mississippi,"Itawamba County, Mississippi",-88.3631269,34.2810747
3050,Missouri,"St. Louis County, Missouri",-90.4459541,38.6407022
3051,New Mexico,"Sandoval County, New Mexico",-106.8826177,35.6850734
3052,West Virginia,"Raleigh County, West Virginia",-81.2646711,37.7624696
3053,Wyoming,"Teton County, Wyoming",-110.5881023,44.0493205
3054,Illinois,"Champaign County, Illinois",-88.1972014,40.1391496
3055,Kentucky,"Carroll County, Kentucky",-85.1240829,38.6682836
3056,Michigan,"Lenawee County, Michigan",-84.0668533,41.8959147
3057,New York,"Albany County, New York",-73.9740136,42.5882713
3058,Ohio,"Clermont County, Ohio",-84.149614,39.0520838
3059,New Hampshire,"Belknap County, New Hampshire",-71.4253661,43.5191091
3060,Colorado,"Fremont County, Colorado",-105.4214383,38.4556576
3061,New York,"Orleans County, New York",-78.2297258,43.5022867
3062,Louisiana,"West Baton Rouge Parish, Louisiana",-91.309808,30.4640516
3063,Minnesota,"Blue Earth County, Minnesota",-94.0640707,44.0382246
3064,Texas,"Hidalgo County, Texas",-98.18099,26.3963839
3065,Missouri,"Warren County, Missouri",-91.1593065,38.761902
3066,Illinois,"Kankakee County, Illinois",-87.8611252,41.1394937
3067,Louisiana,"East Feliciana Parish, Louisiana",-91.0434338,30.8397837
3068,Wisconsin,"Sheboygan County, Wisconsin",-87.7305455,43.7460015
3069,Kansas,"Sumner County, Kansas",-97.4933494,37.236663
3070,Florida,"Madison County, Florida",-83.4704367,30.4472282
3071,Ohio,"Belmont County, Ohio",-80.9677268,40.0176819
3072,Wisconsin,"Waupaca County, Wisconsin",-88.9670056,44.478004
3073,Mississippi,"Franklin County, Mississippi",-90.8958836,31.4777975
3074,Florida,"Pasco County, Florida",-82.4557068,28.3020241
3075,Wisconsin,"Barron County, Wisconsin",-91.8528921,45.4371917
3076,Arkansas,"Pope County, Arkansas",-93.0315353,35.4552965
3077,District of Columbia,"District of Columbia, District of Columbia",-77.0170942,38.9041485
3078,New York,"Niagara County, New York",-78.7921425,43.4567309
3079,Pennsylvania,"Union County, Pennsylvania",-77.0554751,40.962179
3080,Vermont,"Chittenden County, Vermont",-73.0705246,44.4606755
3081,Nebraska,"Scotts Bluff County, Nebraska",-103.7058602,41.8515889
3082,Washington,"Island County, Washington",-122.6705032,48.1584361
3083,Iowa,"Washington County, Iowa",-91.7250523,41.3294011
3084,Vermont,"Addison County, Vermont",-73.1415807,44.0312479
3085,Illinois,"Iroquois County, Illinois",-87.833601,40.7488665
3086,New Jersey,"Essex County, New Jersey",-74.2461362,40.7872165
3087,Wyoming,"Carbon County, Wyoming",-106.9331526,41.7035904
3088,Colorado,"Routt County, Colorado",-106.9852885,40.4831597
3089,Virginia,"Suffolk city, Virginia",-76.6347808,36.6971573
3090,Kentucky,"Boyd County, Kentucky",-82.6814063,38.3600037
3091,Kentucky,"Perry County, Kentucky",-83.2177723,37.2412822
3092,South Carolina,"McCormick County, South Carolina",-82.316192,33.8976052
3093,Texas,"Austin County, Texas",-96.2701697,29.8919013
3094,Tennessee,"Meigs County, Tennessee",-84.8238876,35.5033973
3095,Tennessee,"Morgan County, Tennessee",-84.6392616,36.138697
3096,West Virginia,"Monongalia County, West Virginia",-80.0590736,39.6336448
3097,South Carolina,"Chesterfield County, South Carolina",-80.1592269,34.6370178
3098,West Virginia,"Boone County, West Virginia",-81.7133139,38.0228383
3099,Arkansas,"Jefferson County, Arkansas",-91.9307012,34.2776955
3100,Florida,"Volusia County, Florida",-81.1618129,29.0576172
3101,Alabama,"Washington County, Alabama",-88.2020776,31.4069737
3102,Ohio,"Ashland County, Ohio",-82.2701212,40.8432741
3103,Montana,"Missoula County, Montana",-113.8926807,47.0272626
3104,New Jersey,"Cumberland County, New Jersey",-75.1216435,39.3283874
3105,Ohio,"Darke County, Ohio",-84.6204381,40.1321763
3106,Tennessee,"Crockett County, Tennessee",-89.1353494,35.8113116
3107,Arkansas,"Ashley County, Arkansas",-91.7722672,33.1908354
3108,California,"Placer County, California",-120.7227181,39.0620324
3109,Washington,"Spokane County, Washington",-117.4043916,47.6203793
3110,Louisiana,"Evangeline Parish, Louisiana",-92.4040858,30.7206932
3111,Maine,"Washington County, Maine",-67.6093542,44.9670088
3112,Pennsylvania,"Forest County, Pennsylvania",-79.249705,41.513304
3113,Arkansas,"Drew County, Arkansas",-91.7227781,33.5872418
3114,Arizona,"La Paz County, Arizona",-114.0387933,33.7276249
3115,Florida,"Jefferson County, Florida",-83.8908594,30.4245579
3116,Louisiana,"Concordia Parish, Louisiana",-91.626314,31.4698055
3117,Minnesota,"McLeod County, Minnesota",-94.2723203,44.8216437
3118,Ohio,"Ashtabula County, Ohio",-80.7456406,41.9066441
3119,Ohio,"Jackson County, Ohio",-82.614142,39.0134773
3120,Wisconsin,"Waushara County, Wisconsin",-89.239752,44.1128248
3121,Alabama,"Escambia County, Alabama",-87.168429,31.1217475
3122,Kentucky,"McCreary County, Kentucky",-84.4910515,36.7311363
3123,Maine,"York County, Maine",-70.6704023,43.4272386
3124,New Jersey,"Union County, New Jersey",-74.3086957,40.6598707
3125,Texas,"Limestone County, Texas",-96.593623,31.5475427
3126,Utah,"Tooele County, Utah",-113.1240153,40.4676916
3127,Florida,"Polk County, Florida",-81.6927831,27.9531147
3128,Mississippi,"Pike County, Mississippi",-90.3977249,31.1775167
3129,Maryland,"Allegany County, Maryland",-78.7031084,39.6123087
3130,Illinois,"McLean County, Illinois",-88.8445391,40.4945594
3131,Virginia,"Prince William County, Virginia",-77.4788873,38.7023317
3132,Virginia,"Newport News city, Virginia",-76.5217187,37.0759784
3133,Tennessee,"Giles County, Tennessee",-87.035319,35.2027228
3134,Arizona,"Santa Cruz County, Arizona",-110.8451898,31.5259036
3135,Minnesota,"Wright County, Minnesota",-93.9663965,45.1750914
3136,Arkansas,"Saline County, Arkansas",-92.674463,34.6485246
3137,Connecticut,"New Haven County, Connecticut",-72.9002037,41.3497173
3138,Alabama,"Talladega County, Alabama",-86.1758045,33.3692774
3139,Illinois,"Macon County, Illinois",-88.9615288,39.8602372
3140,Wisconsin,"Outagamie County, Wisconsin",-88.4649883,44.4182258
3141,Ohio,"Trumbull County, Ohio",-80.7676557,41.3089364
3142,Arizona,"Coconino County, Arizona",-111.7737277,35.8296919
3143,Florida,"Dixie County, Florida",-83.1956656,29.5808994
3144,Pennsylvania,"Northumberland County, Pennsylvania",-76.709877,40.8515244
3145,Tennessee,"Marion County, Tennessee",-85.618399,35.1334215
3146,Washington,"Kitsap County, Washington",-122.6496358,47.6396874
3147,Pennsylvania,"Lawrence County, Pennsylvania",-80.3344455,40.9927352
3148,Arkansas,"Crawford County, Arkansas",-94.2362241,35.5830407
3149,Louisiana,"Ouachita Parish, Louisiana",-92.1547984,32.4774949
3150,Louisiana,"St. Helena Parish, Louisiana",-90.7093504,30.8214232
3151,Ohio,"Crawford County, Ohio",-82.9247712,40.848508
3152,Virginia,"Petersburg city, Virginia",-77.3923681,37.2047302
3153,Louisiana,"Vernon Parish, Louisiana",-93.1815202,31.1105625
3154,Minnesota,"Itasca County, Minnesota",-93.6131284,47.4908429
3155,Missouri,"Franklin County, Missouri",-91.0734098,38.4083125
3156,Minnesota,"Anoka County, Minnesota",-93.2427232,45.2741098
3157,Florida,"Marion County, Florida",-82.0431004,29.2028047
3158,Illinois,"St. Clair County, Illinois",-89.9285459,38.4701976
3159,Ohio,"Medina County, Ohio",-81.8995658,41.1160512
3160,Kentucky,"Marion County, Kentucky",-85.269242,37.5522465
3161,Michigan,"Ionia County, Michigan",-85.073766,42.9446503
3162,Illinois,"Massac County, Illinois",-88.7056578,37.216119
3163,Arkansas,"White County, Arkansas",-91.7531583,35.2547221
3164,Texas,"Hays County, Texas",-98.0292673,30.0612247
3165,Illinois,"Bond County, Illinois",-89.4365916,38.885924
3166,Tennessee,"Jefferson County, Tennessee",-83.4409664,36.0484787
3167,Louisiana,"East Carroll Parish, Louisiana",-91.2341409,32.7301699
3168,Missouri,"Clinton County, Missouri",-94.3958028,39.6087233
3169,Texas,"Bandera County, Texas",-99.2606816,29.7557484
3170,Texas,"El Paso County, Texas",-106.2413905,31.7664034
3171,Tennessee,"Bedford County, Tennessee",-86.4582939,35.5136604
3172,Tennessee,"Claiborne County, Tennessee",-83.6607235,36.5015565
3173,Florida,"Calhoun County, Florida",-85.1979155,30.3888013
3174,Missouri,"Shannon County, Missouri",-91.3983635,37.1519796
3175,Wisconsin,"Kenosha County, Wisconsin",-87.4248983,42.5797028
3176,Tennessee,"Macon County, Tennessee",-86.0012306,36.5378383
3177,Mississippi,"Forrest County, Mississippi",-89.2594467,31.1885802
3178,Virginia,"Rockbridge County, Virginia",-79.4477537,37.8145174
3179,Minnesota,"Carlton County, Minnesota",-92.6710435,46.6038184
3180,New York,"Monroe County, New York",-77.6646556,43.4644751
3181,Virginia,"Mecklenburg County, Virginia",-78.3689592,36.6872563
3182,Maine,"Oxford County, Maine",-70.7346875,44.494585
3183,Pennsylvania,"Cumberland County, Pennsylvania",-77.2634399,40.1647822
3184,South Carolina,"Berkeley County, South Carolina",-79.9536554,33.2077
3185,Wisconsin,"Brown County, Wisconsin",-87.9959258,44.4739612
3186,Mississippi,"Simpson County, Mississippi",-89.9177072,31.9025034
3187,Arkansas,"Washington County, Arkansas",-94.2184168,35.9712088
3188,California,"Merced County, California",-120.7228019,37.1948063
3189,Texas,"Shelby County, Texas",-94.1425654,31.7901368
3190,Virginia,"Virginia Beach city, Virginia",-76.0240202,36.7793219
3191,Washington,"Douglas County, Washington",-119.6958798,47.7358661
3192,Missouri,"Mississippi County, Missouri",-89.2959286,36.826264
3193,Texas,"Galveston County, Texas",-94.8948647,29.2287059
3194,Virginia,"Lynchburg city, Virginia",-79.1954582,37.3990161
3195,New Mexico,"Taos County, New Mexico",-105.6379865,36.5765287
3196,New York,"Orange County, New York",-74.3062522,41.4024096
3197,Minnesota,"Winona County, Minnesota",-91.7767076,43.9822682
3198,California,"Alameda County, California",-121.9133039,37.6480811
3199,Colorado,"Yuma County, Colorado",-102.422649,40.0006314
3200,Alabama,"Blount County, Alabama",-86.5672464,33.9774479
3201,Louisiana,"Caddo Parish, Louisiana",-93.8824228,32.5771951
3202,Minnesota,"Pope County, Minnesota",-95.4467052,45.5896228
3203,Louisiana,"Terrebonne Parish, Louisiana",-90.8441905,29.3332656
3204,Illinois,"Grundy County, Illinois",-88.4010545,41.2924096
3205,Tennessee,"Lincoln County, Tennessee",-86.5933882,35.1425322
3206,Missouri,"Iron County, Missouri",-90.699627,37.6259598
3207,New York,"Broome County, New York",-75.830291,42.1619773
3208,Virginia,"Prince George County, Virginia",-77.2209931,37.1873255
3209,West Virginia,"Marion County, West Virginia",-80.2434018,39.5058387
3210,California,"Stanislaus County, California",-121.0026557,37.5623842
3211,Iowa,"Buena Vista County, Iowa",-95.1414325,42.741522
3212,Louisiana,"St. Martin Parish, Louisiana",-91.6114814,30.1214329
3213,Missouri,"Saline County, Missouri",-93.2041639,39.1358403
3214,Texas,"Victoria County, Texas",-96.9711977,28.7963699
3215,Mississippi,"Tallahatchie County, Mississippi",-90.1728334,33.9558908
3216,Florida,"Bradford County, Florida",-82.1667955,29.9469338
3217,Virginia,"Nelson County, Virginia",-78.8793935,37.790016
3218,Maryland,"Kent County, Maryland",-76.1242003,39.2391765
3219,Missouri,"Cape Girardeau County, Missouri",-89.6849079,37.3838819
3220,Missouri,"Pettis County, Missouri",-93.2852073,38.7273667
3221,Ohio,"Fayette County, Ohio",-83.4593267,39.5538453
3222,Arkansas,"Cross County, Arkansas",-90.7738942,35.2912586
3223,Ohio,"Portage County, Ohio",-81.1969318,41.1686399
3224,Pennsylvania,"Sullivan County, Pennsylvania",-76.5115249,41.4397901
3225,Iowa,"Marshall County, Iowa",-92.9814523,42.041691
3226,New Jersey,"Warren County, New Jersey",-75.0095421,40.8535238
3227,Ohio,"Stark County, Ohio",-81.3656673,40.8141314
3228,Tennessee,"Sequatchie County, Tennessee",-85.4103438,35.3723348
3229,Ohio,"Van Wert County, Ohio",-84.5857751,40.8555203
3230,Tennessee,"Tipton County, Tennessee",-89.7637081,35.5002966
3231,Mississippi,"Stone County, Mississippi",-89.112297,30.790184
3232,New York,"Montgomery County, New York",-74.4353575,42.9008912
3233,Pennsylvania,"Clarion County, Pennsylvania",-79.4204044,41.1982385
3234,South Carolina,"Clarendon County, South Carolina",-80.2178886,33.6646821
3235,Texas,"Rusk County, Texas",-94.7563823,32.1094232
3236,Alabama,"Walker County, Alabama",-87.3010918,33.7915714
3237,Illinois,"Saline County, Illinois",-88.545031,37.7516531
3238,Michigan,"Shiawassee County, Michigan",-84.1463518,42.9515446
3239,Pennsylvania,"Washington County, Pennsylvania",-80.2521319,40.2000054
3240,New Hampshire,"Strafford County, New Hampshire",-71.0359266,43.2931773
3241,Washington,"Grant County, Washington",-119.467788,47.2136328
3242,Washington,"Walla Walla County, Washington",-118.4803741,46.2546061
3243,South Carolina,"Anderson County, South Carolina",-82.6380859,34.5195488
3244,Pennsylvania,"Elk County, Pennsylvania",-78.6539383,41.4273339
3245,Arkansas,"Benton County, Arkansas",-94.2561871,36.3378246
3246,Minnesota,"St. Louis County, Minnesota",-92.4636448,47.5838524
3247,Ohio,"Union County, Ohio",-83.3670416,40.2959008
3248,Connecticut,"Litchfield County, Connecticut",-73.2354279,41.7918967
3249,Iowa,"Webster County, Iowa",-94.1791565,42.434397
3250,Alabama,"Chambers County, Alabama",-85.3918121,32.9179433
3251,Florida,"St. Johns County, Florida",-81.3839139,29.8905926
3252,Illinois,"Lake County, Illinois",-87.4361178,42.3264435
3253,Illinois,"Peoria County, Illinois",-89.7673577,40.7859987
3254,Tennessee,"Hardeman County, Tennessee",-88.9890374,35.2181307
3255,Texas,"Atascosa County, Texas",-98.5281872,28.8942963
3256,Massachusetts,"Bristol County, Massachusetts",-71.0870622,41.7485756
3257,California,"Kings County, California",-119.8155301,36.072478
3258,Montana,"Big Horn County, Montana",-107.5181625,45.407869
3259,Florida,"Collier County, Florida",-81.4008838,26.1187125
3260,Idaho,"Ada County, Idaho",-116.244456,43.4478606
3261,New York,"Lewis County, New York",-75.4426165,43.7863965
3262,Colorado,"Logan County, Colorado",-103.0904639,40.7280911
3263,South Carolina,"Marlboro County, South Carolina",-79.6779418,34.6018053
3264,New Mexico,"Lea County, New Mexico",-103.4132707,32.7956865
3265,Arkansas,"Miller County, Arkansas",-93.9015091,33.3055048
3266,Virginia,"Appomattox County, Virginia",-78.8109404,37.3707253
3267,Mississippi,"Clay County, Mississippi",-88.7833258,33.6617336
3268,Kansas,"Sedgwick County, Kansas",-97.4594505,37.683807
3269,California,"Marin County, California",-122.7459738,38.0518169
3270,Ohio,"Harrison County, Ohio",-81.0915651,40.2923175
3271,Louisiana,"Caldwell Parish, Louisiana",-92.1141796,32.1012436
3272,Arkansas,"Monroe County, Arkansas",-91.203314,34.6795127
3273,Minnesota,"Clay County, Minnesota",-96.4949007,46.8983772
3274,Ohio,"Gallia County, Ohio",-82.3017463,38.8170456
3275,South Carolina,"Chester County, South Carolina",-81.161249,34.689345
3276,Pennsylvania,"Crawford County, Pennsylvania",-80.1078113,41.6868399
3277,Iowa,"Clarke County, Iowa",-93.7840961,41.0291908
3278,Texas,"Hockley County, Texas",-102.3433978,33.605932
3279,Florida,"Walton County, Florida",-86.1766139,30.6312106
3280,Iowa,"Story County, Iowa",-93.4660934,42.0375379
3281,Florida,"Lee County, Florida",-81.8922499,26.5521343
3282,Michigan,"Missaukee County, Michigan",-85.0854708,44.325424
3283,Ohio,"Washington County, Ohio",-81.4906531,39.4506837
3284,Illinois,"Clinton County, Illinois",-89.4231363,38.6064228
3285,Nebraska,"Douglas County, Nebraska",-96.1540664,41.2970908
3286,Montana,"Jefferson County, Montana",-112.0567713,46.1265574
3287,New Jersey,"Hudson County, New Jersey",-74.0786266,40.7313837
3288,Virginia,"Wise County, Virginia",-82.6215601,36.9745607
3289,Tennessee,"McMinn County, Tennessee",-84.6199625,35.4244708
3290,Texas,"Fannin County, Texas",-96.1049882,33.5911611
3291,Michigan,"Saginaw County, Michigan",-84.05541,43.3282667
3292,Florida,"Palm Beach County, Florida",-80.4486728,26.6457628
3293,Wisconsin,"Douglas County, Wisconsin",-91.8925795,46.4633156
3294,Kentucky,"McCracken County, Kentucky",-88.7123775,37.0536877
3295,Kentucky,"Madison County, Kentucky",-84.277008,37.7235278
3296,California,"Sacramento County, California",-121.3404409,38.4500114
3297,Wisconsin,"Pierce County, Wisconsin",-92.4262793,44.7253365
3298,New York,"Kings County, New York",-73.9507774,40.6351332
3299,Texas,"Marion County, Texas",-94.3576733,32.7977571
3300,Minnesota,"Fillmore County, Minnesota",-92.0936807,43.6772699
3301,Maine,"Sagadahoc County, Maine",-69.8439936,43.9166939
3302,Wisconsin,"Winnebago County, Wisconsin",-88.6681488,44.0857068
3303,Michigan,"Ottawa County, Michigan",-86.6553423,42.9423461
3304,Kentucky,"Clay County, Kentucky",-83.7107629,37.1644658
3305,New Jersey,"Cape May County, New Jersey",-74.8477158,39.0861425
3306,West Virginia,"Hampshire County, West Virginia",-78.6119886,39.3121395
3307,Alabama,"Lawrence County, Alabama",-87.3218651,34.5297759
3308,Tennessee,"Weakley County, Tennessee",-88.7207846,36.3035229
3309,Illinois,"White County, Illinois",-88.1785848,38.087372
3310,Missouri,"Linn County, Missouri",-93.108019,39.8644404
3311,New York,"Cayuga County, New York",-76.5745866,43.0085456
3312,South Carolina,"Bamberg County, South Carolina",-81.0531608,33.203021
3313,Tennessee,"Dickson County, Tennessee",-87.3641546,36.1455325
3314,Illinois,"Menard County, Illinois",-89.7941326,40.0225693
3315,Missouri,"Morgan County, Missouri",-92.8748352,38.4208069
3316,Pennsylvania,"Montour County, Pennsylvania",-76.6652592,41.029261
3317,Tennessee,"Henderson County, Tennessee",-88.3876741,35.6539945
3318,Tennessee,"Sullivan County, Tennessee",-82.2993965,36.5102123
3319,Ohio,"Hancock County, Ohio",-83.6660335,41.0004711
3320,Kentucky,"Nicholas County, Kentucky",-84.0255542,38.3371317
3321,Arkansas,"Bradley County, Arkansas",-92.1681641,33.4638194
3322,Maryland,"Frederick County, Maryland",-77.3976265,39.4704273
3323,Kansas,"Johnson County, Kansas",-94.8223295,38.8839065
3324,Wisconsin,"Langlade County, Wisconsin",-89.0681897,45.2592039
3325,Arkansas,"Randolph County, Arkansas",-91.0284409,36.3412985
3326,Alabama,"Baldwin County, Alabama",-87.7460666,30.6592183
3327,California,"Del Norte County, California",-123.9809983,41.7499033
3328,Florida,"Duval County, Florida",-81.6481132,30.3352449
3329,Kansas,"Ellsworth County, Kansas",-98.2053552,38.7008451
3330,Missouri,"Webster County, Missouri",-92.8760795,37.2808043
3331,Virginia,"Floyd County, Virginia",-80.3503087,36.9314381
3332,Oregon,"Douglas County, Oregon",-123.1543801,43.2859035
3333,Minnesota,"Chisago County, Minnesota",-92.9038486,45.5054439
3334,Kansas,"Ford County, Kansas",-99.884734,37.6883653
3335,Minnesota,"Crow Wing County, Minnesota",-94.0712125,46.4911138
3336,Nebraska,"Lincoln County, Nebraska",-100.7444808,41.0503221
3337,Colorado,"Park County, Colorado",-105.7176479,39.1189141
3338,Ohio,"Ottawa County, Ohio",-83.0092527,41.5444667
3339,Pennsylvania,"Delaware County, Pennsylvania",-75.3987862,39.9166704
