location_id,management_professional_and_related,service,sales_and_office,farming_fishing_and_forestry,construction_extraction_maintenance_and_repair,production_transportation_and_material_moving,median_earnings_2010,unemployment
3000,35.05,16.05,25.85,0.3,12.55,10.25,28934.62826,0.069
3001,23.35,19.9,20.15,11.75,9.55,15.3,22461.96572,0.094
3002,26.9,16.75,23.55,2.3,10.15,20.4,24901.17175,0.036
3003,29.35,23.55,22.05,1.45,14.95,8.75,25476.32381,0.085
3004,27.35,14.45,21.05,2.9,11.95,22.35,28724.72159,0.079
3005,21.4,14.05,21.7,1.8,13.5,27.55,21582.97016,0.082
3006,27.6,18.25,22.05,2.55,11.7,17.85,27034.81238,0.109
3007,30.55,17,26.05,0.1,12.65,13.7,22425.9327,0.074
3008,42.5,11.6,29.35,0.05,9.1,7.45,37336.9181,0.05
3009,27.6,18.6,25.55,2.65,11.55,14.15,24491.46127,0.169
3010,31.4,19.65,26.4,1,7.5,14,23707.31619,0.085
3011,29.5,20.75,26.75,2.1,9.85,11.05,21811.92857,0.107
3012,27.35,17.05,22.15,0.85,13.45,19.15,25201.6781,0.073
3013,40.25,16.05,22.6,0.1,13.2,7.75,43811.90794,0.057
3014,32,16.85,25.15,0.65,14,11.35,27529.67111,0.092
3015,30.45,19.5,25.5,0.5,12.8,11.25,23833.14159,0.062
3016,26.75,20,23.9,4.4,13.95,11,21441.33207,0.048
3017,36.15,16.75,24.6,1,6.05,15.4,26155.90445,0.047
3018,40.65,11.3,28.15,0.1,7.1,12.7,34445.16794,0.052
3019,23.75,18.55,22.6,3.05,11.35,20.75,22629.81111,0.122
3020,29.5,17.35,24.35,3.45,10.55,14.75,28732.28476,0.092
3021,34.4,14.15,29.6,0.1,9.65,12.05,28206.41429,0.055
3022,27.2,18.35,24.15,0.7,12.35,17.25,21808.41905,0.09
3023,24.1,23.5,22.15,2.8,9.8,17.65,20573.62286,0.09
3024,32.1,19.65,24.25,0.75,13.85,9.45,33656.14572,0.13
3025,28.25,18.15,24.9,0.35,13.85,14.5,24612.92318,0.081
3026,45.6,16.9,23.65,0.1,7.6,6.1,42560.19746,0.072
3027,24.45,15.05,25.05,1.25,9.5,24.6,22228.99048,0.096
3028,31.45,18.9,26.65,0.45,12.85,9.7,27608.51302,0.077
3029,23.65,15.55,18.9,0.55,14.8,26.5,25161.57429,0.086
3030,22.7,21.7,17.85,2.85,21.8,13.15,23915.56699,0.067
3031,33.85,20.55,24.8,0.95,7.85,11.95,14891.52921,0.08
3032,25.75,19.05,25.35,0.8,13.85,15.25,24889.02095,0.066
3033,25.5,18.5,22.6,1,11.5,20.85,26549.81397,0.085
3034,29.65,20,27.3,0.45,11.5,11.1,21599.10191,0.075
3035,26.55,16.25,23.25,0.6,11.15,22.2,26729.60032,0.103
3036,28.95,19.3,23.65,0.95,10.85,16.35,21802.97111,0.086
3037,40.55,14.1,26.25,0.15,7.9,11,40613.92889,0.052
3038,50.9,10.8,24.45,0.1,6.45,7.25,49498.28445,0.074
3039,31,20.25,26.3,0.5,11.2,10.7,27548.55651,0.094
3040,32.2,16.95,26.35,0.4,9.1,15,26407.91111,0.097
3041,23.45,16.15,23.05,0.35,12.5,24.45,22989.47111,0.091
3042,27.7,18.6,20.85,1.05,15.1,16.7,25782.77461,0.075
3043,28.75,17.65,25.45,0.45,9.6,18.15,24162.24762,0.056
3044,43.25,15.15,22.2,0.9,11.7,6.75,32585.46349,0.055
3045,35.2,18.75,19.55,1.45,12.85,12.1,22769.08953,0.103
3046,38.6,21.2,24.15,0.55,8,7.5,16029.40032,0.045
