location_id,white,black,hispanic,asian,american_ndian,other
3000,86.5,0.3,11.05,0.6,0.3,1.2
3001,44.25,1.75,50.2,1.8,0.5,1.5
3002,84,1.2,12.45,0.45,0.85,1.1
3003,73.95,18.65,4,0.2,0.45,2.8
3004,96.3,0.3,1.2,0.3,1.05,0.8
3005,80.3,3.8,14.15,0.2,0.45,1.15
3006,86.75,0.55,7.15,1.3,1.1,3.15
3007,91.45,5.85,0.7,0.6,0.15,1.25
3008,82.05,10.15,4.85,1.7,0.2,1.05
3009,59.65,2.45,23.75,6.7,1.55,5.85
3010,90.25,5.65,1.8,0.55,0.25,1.5
3011,87.8,0.3,5.05,0.95,2.25,3.65
3012,90.05,6.1,1.4,0.5,0.1,1.85
3013,80,13.6,2.6,1.4,0.2,2.2
3014,83.8,0.55,12.6,0.65,0.6,1.8
3015,33.7,3.8,59.85,1.45,0.25,0.95
3016,50.65,6.8,37.8,2.05,0.8,1.85
3017,92.25,1.7,3.15,1.35,0.25,1.2
3018,89.05,5.05,2,2.5,0.15,1.25
3019,61.85,0.45,19.85,0.35,14.95,2.55
3020,78.05,0.55,15.7,1.85,1.55,2.2
3021,75.15,1.35,16.3,3.15,0.65,3.35
3022,96.3,0.35,1.9,0.4,0.25,0.8
3023,93.2,4.1,1.25,0.35,0.15,1
3024,83.55,1.1,10.05,1.3,1.55,2.5
3025,75.4,17.1,4.45,0.85,0.6,1.7
3026,59.1,13.3,20.25,5.45,0.1,1.8
3027,92.35,2.75,3,0.2,0.35,1.4
3028,85.35,5,4.1,1.9,0.75,2.9
3029,97.4,0.7,0.9,0.05,0.4,0.55
3030,77.9,8.25,12.35,0.35,0.4,0.7
3031,55,40.3,2.2,1.45,0.15,0.85
3032,55.4,41.45,1.45,0.35,0.25,1.15
3033,86.95,9.55,2.15,0.2,0.25,0.9
3034,84.6,7.95,4.3,0.7,0.6,1.85
3035,93.95,2.05,1.35,0.55,0.2,1.9
3036,96.85,1.1,0.6,0.35,0.2,0.85
3037,85.6,2.4,4.1,5.35,0.7,1.75
3038,64.3,8.35,12.5,13.15,0.1,1.6
3039,87.05,5.6,5,0.85,0.15,1.3
3040,55.15,40.5,1.9,1.1,0.25,1.15
3041,69.5,25,3.75,0.3,0.25,1.2
3042,97.55,0.75,0.65,0.15,0.15,0.75
3043,88,4.35,4.3,0.65,0.35,2.3
3044,77.35,0.65,20.15,0.5,0.3,1.05
3045,86.75,0.35,1.05,0.35,8.7,2.8
3046,80.75,6.2,5.8,3.7,0.4,3.15
3047,71.05,0.25,26,0.55,0.3,1.75
3048,77.35,10.25,8.15,2,0.25,1.95
3049,91.3,6.3,1.25,0.25,0.1,0.7
3050,70.4,22.2,2.35,3.3,0.15,1.65
3051,48.25,2.05,33.8,1.25,12.8,1.95
3052,88.25,8.1,1.25,0.9,0.2,1.35
3053,83.75,0.2,13.65,1,0.3,1.15
3054,72.75,11.95,4.7,8.25,0.2,2.25
3055,89.9,1.45,5.95,0.45,0.2,2
3056,88,2.25,7.55,0.5,0.35,1.35
3057,77.45,11.6,4.45,4.3,0.15,2.1
3058,95.15,1.15,1.4,0.95,0.2,1.2
3059,96.1,0.45,1.15,1,0.3,1.05
3060,80.35,4.25,11.55,0.6,1.8,1.5
3061,87.45,5.95,4.15,0.35,0.6,1.45
3062,59.65,36.25,2.3,0.2,0.1,1.5
3063,91.55,2.35,2.35,2.05,0.15,1.5
3064,8.35,0.45,90,0.85,0.1,0.3
3065,93.2,1.8,2.6,0.3,0.25,1.8
3066,74.65,14.85,8.05,0.9,0.2,1.4
3067,53.05,44.45,1,0.25,0.25,1
3068,87.65,1.35,5.2,4.35,0.35,1.05
3069,91.8,0.75,4.1,0.15,1.25,2
3070,55.35,38.25,4.7,0.2,0.5,1
3071,93.55,3.95,0.55,0.4,0.1,1.4
3072,96,0.25,2.2,0.35,0.4,0.8
3073,62.9,36.15,0.35,0.2,0.15,0.3
3074,81.4,3.9,10.75,2,0.3,1.6
3075,95.45,0.7,1.65,0.5,0.75,1
3076,88.1,3,5.6,0.9,0.5,1.85
3077,33.35,52.3,8.8,3.2,0.2,2.1
3078,87.9,6.55,1.95,0.85,0.9,1.85
