SSC_SEQ_NO,SSC_PES_JOB_NO,PERIOD_START,TURNSTILE_LEGAL_UNDER44,TURNSTILE_ILLEGAL_OVER44,HEET_BUMP,GATE_OPENED_WITH_KEY,GATE_WITHOUT_KEY,GATE_OPENED_BY_OTHERS,AGENT_AUTH_SCHOOL,AGENT_AUTH_NONSCHOOL,POLICE_PRESENT,SWIPE_SELLER,PANIC_ALARM,OBSV_TIME,CHECKER_ID,DATA_KEY,SURVEY_DATE,ASSET_TAG_NO
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
991209,N303WKD3000345,10:00,0,0,0,0,0,0,0,0,,,,20211214-111101,38080,991209-N303WKD3000345-10:00-38080,12/2/2021,CAFFTab28
